plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_data,incubation_temp_c,incubation_days,tds_mg_per_ml,notes,confidence,source_file,study_id,incability_days,inculation_days,extraction_concentration,effect_on_growth,effect_on_nematodes,reference,germination_percentage,hypocotyl_length,radicle_length,total_seedling_length,total_phenic_content_mg_gae_per_g,root_biomass,shoot_biomass,root_shoot_ratio,inc,total_phenolic_content,incubation_temp,tds,tds_mg,root_length,leaf_area,stomatal_conductance,leaf_length_mm,leaf_width_mm,flower_count,flower_size_mm,seeds_per_pod,pod_length_mm,pod_width_mm,pod_weight_g,seed_weight_g,seed_count,seed_maturity_days,seed_viability_percent,seed_harvest_time,seed_storage_time,seed_storage_conditions,seed_storage_temperature,seed_storage_humidity,seed_storage_moisture_content,seed_storage_chemicals,seed_storage_pests,seed_storage_disease,seed_storage_other,root_length_cm,root_mass_g,leaf_length,leaf_width,seed_weight,seed_size,seed_shape,seed_color,seed_maturity,seed_ripening,seed_harvest,seed_storage,seed_drying,seed_cleaning,seed_sowing,seed_growth,seed_germination,seed_viability,seed_health,seed_quality,seed_yield,seed_productivity,seed_resilience,seed_disease,root_diameter_mm,incianation_days,compound,activity
Juglans nigra,root,water,soil leachate,,Papaver rhoeas L.,,,,,,{},,,,"Juglone (5-hydroxy-1,4-napthoquinone) from black walnut (Juglans nigra) at concentrations of 1.15–5.74 mM controlled field poppy (Papaver rhoeas L.) and reduced growth of other weeds.",0.0,b3f0623e6775.pdf,f5a1c125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus iria L.,residues,water,water extraction,,Rice,,,,,,{},,,,"Flatsedge (Cyperus iria L.) residues contain phenolic acids such as p-hydroxybenzoic, p-coumaric, syringic, vanillic, ferulic, and o-hydroxyphenylacetic acids. These compounds inhibit paddy weed growth and increase rice yield. Water extracts show phytotoxic effects on weeds including morning glory (Ipomoea hederacea), velvetleaf (Abutilon theophrasti Medic.), and pitted morning glory (Ipomoea lacunosa L.).",0.0,b3f0623e6775.pdf,f5a1c125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,GC/MS,,,,,,,,"{""germacrene D"": ""6.9%"", ""(E)-\u03b2-caryophyllene"": ""40.8%"", ""\u03b1-humulene"": ""21.2%"", ""sabinene"": ""9.0%"", ""bicyclogermacrene"": ""7.9%"", ""\u03b1-pinene"": ""4.4%"", ""\u03b2-elemene"": ""3.5%"", ""linalool"": ""0.4\u20131.9%"", ""sesquithuriferol"": ""0.3\u20131.7%"", ""spathulenol"": ""0.2\u20131.5%"", ""(E)-nerolidol"": ""0.0\u20131.0%"", ""\u03c4-cadinol"": ""0.0\u20131.0%""}",,,,"Lantana camara is widely used in traditional medicines and recognized for treating various ailments. Its essential oil (from leaves) contains compounds like germacrene D (6.9%), (E)-β-caryophyllene (40.8%), and others, contributing to antibacterial, anticancer, antifungal, and other therapeutic properties.",0.0,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,solvent extraction,,,,,,,,{},,,,Investigation of Lantana camara leaves for larvicidal activity,0.0,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,steam distillation,,,,,,,,{},,,,Antimicrobial activity of the essential oil of Lantana camara leaves. Reference: Kasali et al. (2002),0.0,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,,,,,,,{},,,,,,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana montevidensis,leaves,,,,,,,,,,{},,,,,,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neopicrorhiza scrphulariiflora,roots,,,,,,,,,,{},,,,,,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer rubrum,leaves,,,,,,,,,,{},,,,,,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,ethanol,soxhlet extraction,,,,,,,,{},,,,Review paper on medicinal potential of Lantana camara: a comprehensive review of phytochemicals and therapeutic application,0.0,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,a5856d42509d.html,79718f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,Roots,"CHCl3:MeOH (60:40, v/v)",Microwave-assisted extraction (MAE),,,,,,,,{},,,,Rapid extraction of oleanolic acid from Lantana camara roots using microwave-assisted extraction (MAE) and HPLC-PDA techniques,0.0,c10d15eca411.html,ff12a60e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,c10d15eca411.html,ff12a60e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,c10d15eca411.html,ff12a60e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,c10d15eca411.html,ff12a60e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,seedling,water,immersion,,Zea mays,,56.67,,,,{},21.0,14.0,,"Lantana camara aqueous leaf extract at 50%, 75%, and 100% concentrations significantly inhibited maize seed germination compared to control (25% had no significant difference).",0.0,c35dcc6c32f6.pdf,d812c8c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,,c35dcc6c32f6.pdf,d812c8c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,seeds,,,,Centroma pubescens,,,,,,{},,,,Allelopathic effect of Lantana camara and Chromolaena odorata on germination and seedling growth of Centroma pubescens,0.0,c35dcc6c32f6.pdf,d812c8c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,Lolium multiflorum,,,,,,{},,,,Phytotoxic compounds isolated from Lantana camara inhibit growth of Lolium multiflorum.,0.0,c92561dd2f15.html,50a73ee7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnema sylvestre,stem bark,ethanol,soxhlet,,Zea mays,,,,,,{},,,,Antifeedant activity against Sitophilus oryzae (L.),0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trachyspermum ammi, Anethum graveolens, Nigella sativa",essential oils,,,,,,,,,,{},,,,"Insecticidal activity of Trachyspermum ammi, Anethum graveolens, Nigella sativa essential oils against stored product beetle Tribolium castaneum",0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,"Gomah EN, Sahar IAI (2011) Chemical composition and the insecticidal activity of certain plants applied as powders and essential oils against two stored products coleopteran beetles. J Pest Sci 84:393–402",0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camera,leaves,water,powdering,,maize,Zea mays,,,,,{},,,,Insecticidal activity of Lantana camera leaves against stored grain insects,0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum cinerariaefolium,petals,water,solvent extraction,,wheat,,,,,,{},,,,,,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,b63e01ad1ea1.html,bc6b383d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsicum annuum L.,seedling,,,,Chilli,Capsicum annuum L.,80,42.9,45.2,,{},,,,Carbendazim (8 ppm) seed treatment,0.0,c99cc6b6c9b9.pdf,bf0ff745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,distilled water,heated at 100°C for 10 minutes,,Chilli,G-4,,,,,{},,,,"In vitro test of Trichoderma harzianum, Pseudomonas fluorescens, and Lantana camara extract against Pythium aphanidermatum in chilli (variety G-4). Germination percentage at 25 DAS: Carbendazim (80%), Lantana camara (76%), Trichoderma harzianum (64%), Pseudomonas fluorescens (60%). Conducted in Rabi season 2017-18.",0.0,c99cc6b6c9b9.pdf,bf0ff745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melinis minutiflora, Lantana camara",leaves,water,steam distillation,,,,,,,,{},,,,,0.0,ceea51a246d2.pdf,4ebc942a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melinis minutiflora,partes aéreas,agua,destilación por arrastre de vapor,,,,,,,,{},,,,Estudio de extracción de aceites esenciales de Melinis minutiflora y Lantana camara mediante destilación por arrastre de vapor en Ecuador.,0.0,ceea51a246d2.pdf,4ebc942a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melinis minutiflora,,,,,,,,,,,"{""1-tetradecanol"": 16.3, ""(E)-cariofileno"": 12.44, ""germacreno D"": 10.99, ""(E)-nerolidol"": 8.28, ""\u03b4-cadinene"": 5.61, ""\u03b1-humulene"": 5.36, ""viridiflorol"": 4.78, ""(Z)-\u03b2-farnesene"": 4.76}",,,,,,ceea51a246d2.pdf,4ebc942a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,hoja,,,,Lantana,camara,,,,,"{""(E)-caryophyllene"": ""15.5%"", ""germacreno B"": ""4.66%"", ""\u03b3-terpinene"": ""5.97%"", ""\u03b1-humulene"": ""9.92%"", ""biciclogermacreno"": ""12.21%""}",,,,Study by Iriarte et al. (2018) on Melinis minutiflora and Lantana camara,0.0,ceea51a246d2.pdf,4ebc942a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,,,India,,,,,,{},,,,"Invasive weed in India, covers 13.2 million ha of pasture lands, cost of control estimated at $70 per ha",0.0,d0a97eab94dc.pdf,f03bc4e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,,,,,,,{},,,,Lantana camara is a weed species with high biomass productivity in degraded lands. Germination rates range from 4-45%.,0.5,d0a97eab94dc.pdf,f03bc4e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,,,,,,,,,{},,,,"Lantana camara is a highly invasive species in India, classified as one of the world's 100 most invasive species by IUCN. It exhibits high nitrogen retranslocation (73 kg ha⁻¹ yr⁻¹) and leaf litter with high nitrogen content, promoting faster decomposition and increased soil nitrogen availability. It has invaded 13.2 million hectares of pasture lands in India, with control costs estimated at $70 per hectare. This invasion leads to reduced biodiversity, human-wildlife conflicts, and damage to crops.",0.0,d0a97eab94dc.pdf,f03bc4e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,d20c7dfb2003.pdf,25ae1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. indica,leaves,ethanol,leaf-dip,,cabbage,,,,,,{},,,,Ethanol extract of A. indica and M. azedarach showed antifeedant effect against P. brassicae larvae at 1-10% concentration.,,d20c7dfb2003.pdf,25ae1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. indica,leaves,petroleum ether,solvent extraction,10.0,cabbage,,0,0,0,0,{},0.0,0.0,0,100% protection to cabbage leaves against Henosepilachna vigintioctopunctata larvae using 1% petroleum ether extract,1.0,d20c7dfb2003.pdf,25ae1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moringa oleifera,leaf,methanol,crude extract,5.0,Solanum lycopersicum,,100.0,,,,{},,,,Antifungal efficacy of Moringa oleifera leaf extract against Botrytis cinerea (Solanum lycopersicum) using methanol extraction. Minimum inhibitory concentration (MIC) of 5 mg/ml and minimum fungicidal concentration (MFC) of 10 mg/ml. 100% spore germination inhibition at MIC.,0.0,cf9cfb676a9a.pdf,8992dfad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moringa oleifera,leaf,methanol,mechanical shaking,,,,,,,,{},28.0,7.0,,"Study on Moringa oleifera methanol extract for antifungal activity against B. cinerea, with phytochemical analysis and ultrastructural studies.",0.0,cf9cfb676a9a.pdf,8992dfad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moringa oleifera,leaves,methanol,methanolic extraction,,,,,,,,{},,,,"Phytochemical analysis of Moringa oleifera methanolic leaf extracts as per Ahmadu et al., 2021 study.",0.0,cf9cfb676a9a.pdf,8992dfad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momordica oleifera,leaf,methanol,direct extraction,,,,,,,,{},,,,M. oleifera leaf extract (methanol) showed highest extraction yield (14.16%) and highest antifungal activity (>99% inhibition against B. cinerea isolates).,0.0,cf9cfb676a9a.pdf,8992dfad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,soxhlet,,Lantana camara,,,,,,{},,,,Study on Lantana camara invasion dynamics in Southeast Queensland rainforests,0.0,d442409ef7d9.html,2ea99824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,seeds,,,,,,,,,,{},,,,Lantana camara is restricted to canopy gaps in intact rainforests of southeast Queensland. Native seeds show higher germination under rainforest canopies than lantana. Lantana seedlings have higher survival in secondary forests but rainforest suppresses lantana expansion due to shading and canopy species effects. Lantana requires >75% canopy openness to thrive; intact rainforests maintain >75% shading preventing lantana encroachment.,0.0,d442409ef7d9.html,2ea99824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana,,,,,,,,,,,{},,,,PhD thesis on Lantana invasive species in Southeast Queensland vegetation (DOI: 10.25904/1912/293),0.0,d442409ef7d9.html,2ea99824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,"ethyl acetate, ethanol",Soxhlet,,,,,,,,"{""ergosta-4,6,8(14),22-tetraen-3-one"": ""C1"", ""fatty acids"": ""identified""}",,,,"Corynespora cassiicola (RWB 01 isolate) cultivated on rice plastic bags. Crude extracts CAE (ethyl acetate) and CE (ethanol) produced. Most active extract (CAE) isolated to ergosta-4,6,8(14),22-tetraen-3-one (C1) and fatty acids. C1 reduced ATP synthesis in spinach chloroplasts.",0.0,da97445ebdec.pdf,350e815a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,ethyl acetate,chromatographic fractionation,,Lantana camara,,,,,,{},25.0,7.0,,"Histopathological observations of Lantana camara after inoculation with Corynespora cassiicola conidia; isolation of compound C1 (ergosta-4,6,8(14),22-tetraen-3-one)",0.0,da97445ebdec.pdf,350e815a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,shrub,,,,Lantana camara,,,,,,{},,,,"Soil pH, total nitrogen, organic carbon, phosphorus, and potassium positively influenced Lantana camara growth, enhancing soil nutrient levels and increasing invasion potential.",0.0,d5969ff16dc5.pdf,e3712bea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,,,Shorea robusta,,,,,,{},,,,"Study on Lantana camara invasion in Doon valley, India. Lantana camara is an invasive species that affects native vegetation, modifies soil properties, and is facilitated by nutrient enrichment in the valley's soil.",0.0,d5969ff16dc5.pdf,e3712bea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,d5969ff16dc5.pdf,e3712bea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,P (mg/dm3) 8.7 2.6 29.9 14.9 7.25 54.12 16.34 8.21 55.1 < 0.001 *** *** * Ca (mg/dm3) 383 219.68 57.4 936 457.12 45.21 1044 481.88 41 < 0.001 *** *** * Mg (mg/dm3) 162 77.74 48 102 43.44 42.6 100 72.13 44.21 < 0.001 *** *** * Lantana cover (%) 0 (± 2.92) 35 (± 2.01) 85 (± 3.01) < 0.001,0.0,d5969ff16dc5.pdf,e3712bea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhus typhina,roots,,root extracts,10.0,Tagetes erecta,,,,,,{},,,,Invasive species Rhus typhina root extracts inhibited growth of Tagetes erecta at 10 mg/mL,0.0,d228c6cd10d8.html,c1c821ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhus typhina,roots,deionized water,"shaken at 50 rpm for 4:00h, then concentrated by rotary evaporation and freeze-dried",,Tagetes erecta,L.,,,,,{},,,,,0.0,d228c6cd10d8.html,c1c821ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagetes erecta,root,distilled water,root extract preparation,10.0,Rhus typhina,,,,,,{},,,,Root extracts at 10 mg/mL reduced root length by 13.13% in T. erecta (P < 0.05).,0.0,d228c6cd10d8.html,c1c821ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. typhina,roots,,controlled growth chamber,,,,,,,,{},,,,,0.0,d228c6cd10d8.html,c1c821ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,d228c6cd10d8.html,c1c821ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,d228c6cd10d8.html,c1c821ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum lycopersicum L.,roots,distilled water,aqueous extraction,800.0,Solanum lycopersicum L.,Roma VF,,,,,{},28.0,42.0,,"Application of P. lilacinus twice (at transplanting and two weeks after transplanting) in combination with 0.80 g mL-1 of L. camara leaf extract was the most effective treatment in gall and egg mass inhibition, growth enhancement and dry matter accumulation. This reduced the gall index from 4.00 to 1.50.",0.0,e676b31cebb2.pdf,118e4dcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,water,dilution,,Solanum lycopersicum,,,,,,{},,,,Lantana camara leaf extract (0.20-0.80 g mL⁻¹) significantly reduced root gall index and egg mass production in tomato plants infected with Meloidogyne incognita. Double application with Paecilomyces lilacinus enhanced efficacy. The extract contains nematicidal compounds such as camarolic acid and pentacyclic triterpenoids.,0.0,e676b31cebb2.pdf,118e4dcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum lycopersicum,leaf,water,aqueous extraction,800.0,Solanum lycopersicum,,,,,,{},,,,L. camara leaf extract (0.80 g/mL) and P. lilacinus applied twice significantly reduced root-knot nematode galling in tomato plants.,0.0,e676b31cebb2.pdf,118e4dcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justicia adhatoda,leaves,water,soxhlet,,Lantana camara,var. camara,,,,,{},,,,Native species like Justicia adhatoda demonstrated promising results in controlling Lantana camara in both pot and field experiments.,0.0,e7b475012355.pdf,e58048ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,e7b475012355.pdf,e58048ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,e7b475012355.pdf,e58048ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,,,,Lantana,,,,,,"{""flavonoids"": ""Present"", ""furanonaphthoquinones"": ""Present"", ""iridoid glycosides"": ""Present"", ""phenylethanoid glycosides"": ""Present"", ""steroids"": ""Present"", ""terpenes"": ""Present""}",,,,"Lantana camara is known to cause photosensitization in ruminants; contains lantadenes A and B. Traditional uses include treatment of tuberculosis, bronchitis, and as a pesticide.",0.0,e82bf27cb8a6.pdf,8fd28e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. lilacina Desf.,leaves,water,decoction,,,,,,,,{},,,,"Used in traditional medicine for stomach ache relief (Innocent et al., 2008).",0.0,e82bf27cb8a6.pdf,8fd28e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
